player,nation,position,age,mp,starts,minutes,full-90,goals,assists,goals-pks,pks-made,pk-att,yellows,reds,p90-goals,p90-assists,p90-goals-assists,p90-goals-pks,p90-goals-assists-pks,xG,non-pk-xG,xAG,npxG+xAG,p90-xG,p90-xAG,p90-xG+xAG,p90-npxG,p90-npxG+xAG
Alisson,br BRA,GK,25,38,38,3420,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,nl NED,DF,27,38,38,3384,37.6,4,2,4,0,0,1,0,0.11,0.05,0.16,0.11,0.16,3.1,3.1,1.4,4.6,0.08,0.04,0.12,0.08,0.12
Mohamed Salah,eg EGY,FW,26,38,37,3250,36.1,22,8,19,3,3,1,0,0.61,0.22,0.83,0.53,0.75,20.2,17.9,9.4,27.2,0.56,0.26,0.82,0.49,0.75
Andrew Robertson,sct SCO,DF,24,36,36,3216,35.7,0,11,0,0,0,4,0,0,0.31,0.31,0,0.31,0.7,0.7,7.2,7.9,0.02,0.2,0.22,0.02,0.22
Sadio Mané,sn SEN,FW,26,36,35,3077,34.2,22,1,22,0,0,2,0,0.64,0.03,0.67,0.64,0.67,15.1,15.1,4.5,19.7,0.44,0.13,0.58,0.44,0.58
Georginio Wijnaldum,nl NED,MF,27,35,32,2725,30.3,3,0,3,0,0,3,0,0.1,0,0.1,0.1,0.1,3,3,1.8,4.8,0.1,0.06,0.16,0.1,0.16
Roberto Firmino,br BRA,FWMF,26,34,31,2607,29,12,6,11,1,1,0,0,0.41,0.21,0.62,0.38,0.59,13.6,12.8,5.5,18.3,0.47,0.19,0.66,0.44,0.63
Trent Alexander-Arnold,eng ENG,DF,19,29,27,2462,27.4,1,12,1,0,0,3,0,0.04,0.44,0.48,0.04,0.48,1.6,1.6,6.3,7.9,0.06,0.23,0.29,0.06,0.29
Fabinho,br BRA,MF,24,28,21,2017,22.4,1,2,1,0,0,6,0,0.04,0.09,0.13,0.04,0.13,1,1,1.8,2.8,0.05,0.08,0.12,0.05,0.12
Jordan Henderson,eng ENG,MF,28,32,21,1987,22.1,1,3,1,0,0,2,1,0.05,0.14,0.18,0.05,0.18,1.5,1.5,1.8,3.2,0.07,0.08,0.15,0.07,0.15
James Milner,eng ENG,MFDF,32,31,19,1789,19.9,5,4,2,3,3,6,1,0.25,0.2,0.45,0.1,0.3,3.4,1.1,5.3,6.4,0.17,0.27,0.44,0.05,0.32
Joël Matip,cm CMR,DF,26,22,17,1537,17.1,1,0,1,0,0,3,0,0.06,0,0.06,0.06,0.06,0.7,0.7,0.2,0.9,0.04,0.01,0.05,0.04,0.05
Naby Keïta,gn GUI,MFFW,23,25,16,1390,15.4,2,1,2,0,0,0,0,0.13,0.06,0.19,0.13,0.19,2,2,1,3,0.13,0.06,0.19,0.13,0.19
Joe Gomez,eng ENG,DF,21,16,12,1063,11.8,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.4,0.7,0.03,0.03,0.06,0.03,0.06
Xherdan Shaqiri,ch SUI,FWMF,26,24,11,1064,11.8,6,3,6,0,0,2,0,0.51,0.25,0.76,0.51,0.76,3.9,3.9,1.6,5.5,0.33,0.14,0.46,0.33,0.46
Dejan Lovren,hr CRO,DF,29,13,11,986,11,1,0,1,0,0,1,0,0.09,0,0.09,0.09,0.09,0.7,0.7,0.1,0.8,0.06,0.01,0.07,0.06,0.07
Adam Lallana,eng ENG,MFFW,30,13,5,468,5.2,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.5,0.7,0.05,0.09,0.14,0.05,0.14
Daniel Sturridge,eng ENG,FWMF,28,18,4,509,5.7,2,1,2,0,0,1,0,0.35,0.18,0.53,0.35,0.53,1.2,1.2,0.8,2.1,0.22,0.15,0.37,0.22,0.37
Divock Origi,be BEL,FW,23,12,4,371,4.1,3,1,3,0,0,0,0,0.73,0.24,0.97,0.73,0.97,2.2,2.2,0.2,2.3,0.53,0.04,0.57,0.53,0.57
Alberto Moreno,es ESP,DF,26,2,2,154,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.02,0.09,0.1,0.02,0.1
Nathaniel Clyne,eng ENG,DF,27,4,1,111,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06
Alex Oxlade-Chamberlain,eng ENG,MF,24,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,2.33,0.3,2.62,2.33,2.62
Rafael Camacho,pt POR,DF,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,
Loris Karius,de GER,GK,25,0,0,,,,,,,,,,,,,,,,,,,,,,,
Simon Mignolet,be BEL,GK,30,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,26.1,38,418,3420,38,86,55,79,7,7,39,2,2.26,1.45,3.71,2.08,3.53,73.7,68.4,49.8,118.2,1.94,1.31,3.25,1.8,3.11